,Peso,Altura
2014-01-31,81.28422540122327,96.11280788396134
2014-02-28,83.20027813845122,103.35699467107575
2014-03-31,84.87992573398606,103.57773410996947
2014-04-30,86.34334525131143,99.12012074700482
2014-05-31,87.61071375391093,91.77197605983858
2014-06-30,88.7022083052682,92.77388687209142
2014-07-31,89.63800596886684,95.4761581311022
2014-08-31,90.43828380819045,104.71536726715182
2014-09-30,91.12321888672274,105.29325348150294
2014-10-31,91.711680043126,98.89736011922743
2014-11-30,92.21730321677772,97.15904636429477
2014-12-31,92.65241612223413,102.83185754115176
2015-01-31,93.02934647405147,95.68721358663781
2015-02-28,93.36042198678591,97.0574817539724
2015-03-31,93.65797037499374,97.133673163811
2015-04-30,93.93431935323113,103.21950198044627
2015-05-31,94.19978682279586,104.69840524742193
2015-06-30,94.45665143195167,100.20660238816671
2015-07-31,94.70518201570387,95.59966773738196
2015-08-31,94.94564740905773,98.87108957574146
2015-09-30,95.17831644701856,97.56487350768359
2015-10-31,95.40345796459167,105.8710926692534
2015-11-30,95.6213407967823,95.38282266885896
2015-12-31,95.83223377859582,102.86463258560002
2016-01-31,96.03640574503746,94.2005948433194
2016-02-29,96.2341255311125,104.97529115825499
2016-03-31,96.42566197182627,100.09505520147675
2016-04-30,96.61128390218406,103.49266924641681
2016-05-31,96.79126015719113,101.90146458821388
2016-06-30,96.9658595718528,101.21020187551566
2016-07-31,97.13535098117435,105.58091824083874
2016-08-31,97.29997992148765,96.74531017647865
2016-09-30,97.4598987344309,106.05146725812429
2016-10-31,97.61523646296884,97.20480154778194
2016-11-30,97.76612215006631,92.55033601235348
2016-12-31,97.912684838688,103.84521580842899
2017-01-31,98.05505357179872,93.02009384434737
2017-02-28,98.19335739236324,107.78226197620573
2017-03-31,98.32772534334639,97.92991271428478
2017-04-30,98.45828646771284,98.75974166262027
2017-05-31,98.58516980842742,92.59451880669474
2017-06-30,98.70850440845491,96.94302459415064
2017-07-31,98.82841931076004,100.91210577798472
2017-08-31,98.94504355830763,97.3498115827858
2017-09-30,99.0585061940624,97.15005625826713
2017-10-31,99.16893626098917,95.49452881419246
2017-11-30,99.27646280205268,104.50781969185297
2017-12-31,99.38121486021771,102.44902819114165
2018-01-31,99.48332147844906,99.53188988965486
2018-02-28,99.58291169971145,97.2034326182407
2018-03-31,99.68011456696969,96.8960901323741
2018-04-30,99.77505912318853,97.53389241958422
2018-05-31,99.86787441133278,97.28982860366762
2018-06-30,99.95868947436718,97.52855012039133
2018-07-31,100.0476333552565,101.1624570842415
2018-08-31,100.1348350969655,96.90416769631288
2018-09-30,100.220423742459,96.8617014823465
2018-10-31,100.30452833470174,92.59751446223117
2018-11-30,100.3872779166585,100.9286636407708
2018-12-31,100.46880153129402,101.24394834235247
2019-01-31,100.5492282215731,94.1915742105582
2019-02-28,100.62866722996885,90.97260570236992
2019-03-31,100.7071485969875,97.93209442137814
2019-04-30,100.78468256264367,101.89437056290394
2019-05-31,100.86127936695188,99.54206468276011
2019-06-30,100.93694924992678,106.77005551357561
2019-07-31,101.01170245158295,97.55061444216611
2019-08-31,101.08554921193495,94.51958164500373
2019-09-30,101.15849977099738,98.7634481115727
2019-10-31,101.2305643687848,97.05252291271127
2019-11-30,101.30175324531183,102.501443497292
2019-12-31,101.37207664059304,110.14609334931762
2020-01-31,101.44154479464297,100.0330932563017
2020-02-29,101.51016794747626,104.96416206748395
2020-03-31,101.57795633910749,99.47906297173705
2020-04-30,101.64492020955122,100.54532190683885
2020-05-31,101.71106979882205,101.46534348693925
2020-06-30,101.77641534693458,100.56982496384751
2020-07-31,101.84096709390339,104.16055761654478
2020-08-31,101.90473527974302,94.12469910010361
2020-09-30,101.96773014446809,59.689319818714345
2020-10-31,102.02996192809319,59.85683092575134
2020-11-30,102.09144087063288,59.9194859918332
2020-12-31,102.15217721210178,60.22272069610082
2021-01-31,102.21218119251442,72.04669621578728
2021-02-28,102.27146305188545,72.09646220794241
2021-03-31,102.3300330302294,74.41354718575744
2021-04-30,102.3879013675609,74.56823360823195
2021-05-31,102.44507830389449,75.63497954292797
2021-06-30,102.50157407924479,75.31852691291343
2021-07-31,102.55739893362633,75.21604714684509
2021-08-31,102.6125631070538,75.2275623064639
2021-09-30,102.66707683954169,75.167691539289
2021-10-31,102.72095037110458,75.07435834364998
2021-11-30,102.77419394175713,74.98548621787627
2021-12-31,102.82681779151386,74.9389986602974
2022-01-31,102.87883216038941,74.9728191692428
2022-02-28,102.93024728839828,75.12487124304198
2022-03-31,102.98107341555513,75.43307838002445
2022-04-30,103.0313207818745,75.7981689887712
2022-05-31,103.08099962737103,75.57209111886957
2022-06-30,103.13012019205924,74.92849597666144
2022-07-31,103.17869271595373,75.589210860551
2022-08-31,103.22672743906912,74.37008714599833
2022-09-30,103.27423460141995,75.39870392621641
2022-10-31,103.32122444302087,74.7126172391068
2022-11-30,103.36770720388638,74.64878837515862
2022-12-31,103.41369312403113,75.12242179290112
2023-01-31,103.45919244346966,75.07536179842452
2023-02-28,103.50421540221657,74.76306851316352
2023-03-31,103.54877224028644,74.65323312375686
2023-04-30,103.5928731976939,74.74885526231506
2023-05-31,103.63652851445349,74.93676167231655
2023-06-30,103.67974843057976,75.12835956786843
2023-07-31,103.72254318608738,75.33337804559277
2023-08-31,103.76492302099084,75.58612667274026
2023-09-30,103.80689817530482,75.92091501656162
2023-10-31,103.84847888904386,76.15552300608132
2023-11-30,103.8896754022225,75.24161201741856
2023-12-31,103.9304979548554,75.68367740909589
2024-01-31,99.17631661988145,90.06863485299576
2024-02-29,98.87775633502493,90.86909329313113
2024-03-31,99.1917563720834,91.70043722263858
2024-04-30,99.54130372479503,90.52757779994744
2024-05-31,99.48790224276111,90.32002570824264
2024-06-30,98.84750166595265,91.17620746704775
2024-07-31,99.11541743979721,90.91478898734027
2024-08-31,99.34383064476197,91.14523485320426
2024-09-30,99.28601892718336,90.19812611421733
2024-10-31,99.13032925613221,90.167845480628
2024-11-30,98.64814832392835,92.512198821776
2024-12-31,99.39865579787198,90.55785882820805
2025-01-31,98.89539662597863,90.37980533048946
2025-02-28,98.91035157166601,91.09557540049252
2025-03-31,99.36559074157424,90.8739186046223
2025-04-30,99.02440332275668,90.74850261435328
2025-05-31,99.03047534153342,90.6782642557632
2025-06-30,98.9668906626827,89.0946400039225
2025-07-31,99.08640900117098,90.17626263570185
2025-08-31,98.70490632515671,91.51249927650358
2025-09-30,99.30794697402413,91.83009513636893
2025-10-31,98.9213498147434,91.04502766121777
2025-11-30,98.81650169863516,91.78635802856626
2025-12-31,99.57551563017687,90.8662931925646
2026-01-31,98.91613050748877,90.74279958019478
2026-02-28,99.16644044543322,90.6556935259971
2026-03-31,99.27508602468187,90.63894241434193
2026-04-30,98.79214540414927,90.87057873291792
2026-05-31,99.03787641550846,91.61378107879816
2026-06-30,99.62510535697521,91.03853916867862
2026-07-31,98.65124408244498,89.89647345398669
2026-08-31,98.9692016892808,90.13648400622047
2026-09-30,99.10033227144966,90.9417796974488
2026-10-31,99.53510816513858,90.2432845333361
2026-11-30,99.20568022681252,91.71046779387811
2026-12-31,99.17214475778647,89.75869203103247
2027-01-31,98.82916541552227,91.30399592958551
2027-02-28,98.94938288786993,91.04261082361222
2027-03-31,98.71209756155548,90.37831440769563
2027-04-30,99.02862367877424,89.77407887011893
2027-05-31,99.25617814550341,90.28949746915953
2027-06-30,98.67556897911342,90.5178071728497
2027-07-31,99.63105229585835,91.39603802192434
2027-08-31,98.77386619145452,91.63903086650956
2027-09-30,98.79706999996381,91.48916146713316
2027-10-31,99.35194009624729,89.72094855406169
2027-11-30,98.88164791660665,91.03279527074763
2027-12-31,99.34143839033254,90.08261856217159
2028-01-31,99.6613337237383,92.11876621108797
2028-02-29,99.17170092694055,91.74108841288361
2028-03-31,98.91250131371109,89.95163614407932
2028-04-30,99.03967731274588,90.4451912005984
2028-05-31,98.87436176056659,92.12862674313004
2028-06-30,99.02183289967232,91.31364979115892
2028-07-31,98.97882439287525,91.14384515907209
2028-08-31,99.12727100842037,91.06708515767383
