indice,Valor
2014-01-01,267.4084579302401
2014-01-02,269.7592719029547
2014-01-03,485.3529182917414
2014-01-04,658.3968676743431
2014-01-05,795.0820466969294
2014-01-06,906.9740665048205
2014-01-07,995.9213326220992
2014-01-08,1066.8919292561784
2014-01-09,1123.07247095125
2014-01-10,1168.447403452829
2014-01-11,1203.4546944720823
2014-01-12,1230.7094994414476
2014-01-13,1255.228404383838
2014-01-14,1273.4407708020851
2014-01-15,1289.561037799401
2014-01-16,1305.3174618578385
2014-01-17,1313.8371594824732
2014-01-18,1320.5920918308302
2014-01-19,1321.3367140094244
2014-01-20,1327.9522664366366
2014-01-21,1331.5500391689336
2014-01-22,1335.5857832344586
2014-01-23,1338.608494360038
2014-01-24,1339.976140122035
2014-01-25,1338.9377903448767
2014-01-26,1342.1526686996276
2014-01-27,1343.357755571441
2014-01-28,1344.4028203080447
2014-01-29,1347.513878050059
2014-01-30,1347.9690084678207
2014-01-31,1347.9545053558782
2014-02-01,1347.3110721183102
2014-02-02,1348.5258471757973
2014-02-03,1350.5187515975288
2014-02-04,1348.7826724208985
2014-02-05,1349.6158479069127
2014-02-06,1350.2229673101158
2014-02-07,1349.259287705117
2014-02-08,1349.0782935434347
2014-02-09,1350.7327214258332
2014-02-10,146.2428150575101
2014-02-11,142.8196221702464
2014-02-12,139.9053063289266
2014-02-13,137.2517678467204
2014-02-14,135.11497342736382
2014-02-15,133.20220640437432
2014-02-16,131.81017729573293
2014-02-17,130.8284900181568
2014-02-18,130.20587825939347
2014-02-19,130.07246219606287
2014-02-20,130.2544290904715
2014-02-21,130.91229499580075
2014-02-22,131.8771425937133
2014-02-23,133.30222136378356
2014-02-24,135.01874927934279
2014-02-25,137.30520620013976
2014-02-26,139.9088553509684
2014-02-27,142.9445464566965
2014-02-28,146.30740699307918
2014-03-01,150.13714623366033
2014-03-02,154.2980114763426
2014-03-03,158.86601805626808
2014-03-04,163.85157064338443
2014-03-05,169.3138705269204
2014-03-06,175.10600055400278
2014-03-07,181.34532479084572
2014-03-08,187.9445138690563
2014-03-09,194.9048755013637
2014-03-10,202.33377400414474
2014-03-11,210.04987266686558
2014-03-12,218.3016840782455
2014-03-13,226.88537796403836
2014-03-14,235.9056285768171
2014-03-15,245.32566521521014
2014-03-16,255.1312280126669
2014-03-17,265.29778912213
2014-03-18,275.94215812151833
2014-03-19,286.88397457060125
2014-03-20,298.3005839170155
2014-03-21,310.0307851704944
2014-03-22,322.23138606549156
2014-03-23,334.8407804020953
2014-03-24,347.88301166440823
2014-03-25,361.25718320524544
2014-03-26,375.070640345672
2014-03-27,389.2874556808135
2014-03-28,403.9391747774943
2014-03-29,418.9408132626609
2014-03-30,434.2059260907729
2014-03-31,450.134579487993
2014-04-01,466.2712540796916
2014-04-02,482.9043504413772
2014-04-03,499.931716360235
2014-04-04,517.2994608098428
2014-04-05,535.0243448545552
2014-04-06,553.2519230292156
