indice,Peso,Altura,Dinero
2014-01-31,59.80140496096276,170.27348921438062,128.50475909443168
2014-02-28,59.74932854317091,180.8705782541831,125.86271062776646
2014-03-31,59.9941801735614,181.76785005727373,123.22176511706155
2014-04-30,60.05916448726099,174.0647007049906,131.24833207473856
2014-05-31,71.38922717233864,176.41721543771177,122.2999297383655
2014-06-30,71.56916620389707,178.74824120642282,130.33188967697936
2014-07-31,73.77405724134643,176.48757532071156,136.9713843286393
2014-08-31,73.66799659232775,181.17087917365214,129.1497751089966
2014-09-30,74.54609420900995,184.85454429900005,130.10204166584205
2014-10-31,74.28159164108834,175.04976497504475,126.39509580132703
2014-11-30,74.88498435593975,177.80010045311658,129.79543764318092
2014-12-31,74.88833911486343,169.04205541340693,129.89044501091436
2015-01-31,75.10844226814814,178.16637587193995,128.50475909443168
2015-02-28,75.24363162667727,172.67820339161702,125.86271062776646
2015-03-31,74.5912484488805,181.50707921566024,123.22176511706155
2015-04-30,75.09134796210407,176.96075236421976,131.24833207473856
2015-05-31,74.26953061544808,182.65402718759043,122.2999297383655
2015-06-30,74.59193164736091,177.72095015926126,130.33188967697936
2015-07-31,74.39958565288265,177.07900453413,136.9713843286393
2015-08-31,74.70790179665852,181.81889328481793,129.1497751089966
2015-09-30,74.29446177936302,182.7694340761161,130.10204166584205
2015-10-31,74.98220768430784,170.7158204064984,126.39509580132703
2015-11-30,74.9135248748544,180.62834808366483,129.79543764318092
2015-12-31,75.4403907169226,179.12096281984685,129.89044501091436
2016-01-31,74.75860831005919,171.2645041499299,128.50475909443168
2016-02-29,75.70694370951753,182.17818331101248,125.86271062776646
2016-03-31,74.52935159634218,181.08311229120713,123.22176511706155
2016-04-30,75.60308889750976,178.2209688207265,131.24833207473856
2016-05-31,74.55195212456341,175.66487778150156,122.2999297383655
2016-06-30,75.79384185743464,174.33611282451884,130.33188967697936
2016-07-31,75.05753826054578,177.46622085100873,136.9713843286393
2016-08-31,75.50724685864307,177.87221652115574,129.1497751089966
2016-09-30,74.93966471288446,177.46673780855693,130.10204166584205
2016-10-31,75.23230979307851,179.82921892955295,126.39509580132703
2016-11-30,74.40873972142396,185.4471513976811,129.79543764318092
2016-12-31,74.90875946356108,180.34113917291447,129.89044501091436
2017-01-31,74.37107347943848,175.55206768736602,128.50475909443168
2017-02-28,74.8729465699409,173.54623634670065,125.86271062776646
2017-03-31,74.57242156333196,188.7220448537739,123.22176511706155
2017-04-30,74.84723152266989,174.98123972892628,131.24833207473856
2017-05-31,75.09767609676125,179.80331475439314,122.2999297383655
2017-06-30,74.74219333663402,179.46215968158012,130.33188967697936
2017-07-31,74.99384714709772,179.94394310658427,136.9713843286393
2017-08-31,75.13050864758033,187.6242661184903,129.1497751089966
2017-09-30,74.50925536403005,173.6216454703211,130.10204166584205
2017-10-31,75.47462824777988,182.5487092704427,126.39509580132703
2017-11-30,74.84254938956546,184.86994795852166,129.79543764318092
2017-12-31,75.30764451893393,179.40388402661742,129.89044501091436
2018-01-31,75.37062646781631,188.46848441227493,128.50475909443168
2018-02-28,75.13163397473902,180.90176120958395,125.86271062776646
2018-03-31,74.91681338853213,177.21721544456116,123.22176511706155
2018-04-30,75.32232320565109,180.14512551194653,131.24833207473856
2018-05-31,75.00479781453413,181.9921208772431,122.2999297383655
2018-06-30,75.17003652129887,181.61838082523786,130.33188967697936
2018-07-31,75.14112779563055,187.86655540207502,136.9713843286393
2018-08-31,74.23849972193291,181.83023423930896,129.1497751089966
2018-09-30,74.83950884926763,188.34584989026015,130.10204166584205
2018-10-31,73.77411781132456,169.93762323966052,126.39509580132703
2018-11-30,74.41535248903567,179.0527458842613,129.79543764318092
2018-12-31,74.6304704027026,186.1433317066588,129.89044501091436
2019-01-31,74.84158629241766,183.42521772956184,128.50475909443168
2019-02-28,75.21267717767417,177.03900859557146,125.86271062776646
2019-03-31,75.24492188057616,176.01348282690802,123.22176511706155
2019-04-30,75.05731899278541,181.69035644407865,131.24833207473856
2019-05-31,75.11506999171841,183.71857034022094,122.2999297383655
2019-06-30,75.03363861059671,174.68462822821706,130.33188967697936
2019-07-31,75.08118209121926,181.13103995595884,136.9713843286393
2019-08-31,75.39684065561136,178.21220096729215,129.1497751089966
2019-09-30,75.29992634722731,180.51005512651162,130.10204166584205
2019-10-31,75.09203954665549,181.42149747752114,126.39509580132703
2019-11-30,75.43655345792112,176.67763922070304,129.79543764318092
2019-12-31,75.30352069492524,180.92715114606597,129.89044501091436
2020-01-31,74.98680758582154,186.87010067213413,128.50475909443168
2020-02-29,75.294598420247,178.7674453984117,125.86271062776646
2020-03-31,74.8094632635535,186.03472163408557,123.22176511706155
2020-04-30,75.04678867082627,182.80947087018197,131.24833207473856
2020-05-31,75.30202732792469,192.9036489399102,122.2999297383655
2020-06-30,74.59726853256659,177.0424576172879,130.33188967697936
2020-07-31,75.31858724182236,178.763111394602,136.9713843286393
2020-08-31,74.22216794284286,181.7193572095547,129.1497751089966
2020-09-30,75.33272836095331,177.2152582323593,130.10204166584205
2020-10-31,74.69561973195857,184.65665657681944,126.39509580132703
2020-11-30,75.45283690624382,184.76652741329562,129.79543764318092
2020-12-31,74.65075427905487,182.21865503431601,129.89044501091436
2021-01-31,74.90887551721384,178.65342618289768,128.50475909443168
2021-02-28,74.59867799493637,174.52559948003557,125.86271062776646
2021-03-31,75.02369984238334,179.38711458341822,123.22176511706155
2021-04-30,74.56283970227638,177.0047980226965,131.24833207473856
2021-05-31,74.86989682341351,182.89620239064453,122.2999297383655
2021-06-30,74.75580997982091,184.73904090810427,130.33188967697936
2021-07-31,74.55171653191152,180.78152399275186,136.9713843286393
2021-08-31,75.5642790182349,178.11179337176753,129.1497751089966
2021-09-30,74.13995948446598,186.24325016151505,130.10204166584205
2021-10-31,75.7325047178441,182.54055552070844,126.39509580132703
2021-11-30,74.49890315980119,180.26182172408397,129.79543764318092
2021-12-31,74.87874718563556,183.09608847381952,129.89044501091436
2022-01-31,74.90284091399485,181.8686322488441,128.50475909443168
2022-02-28,74.49270660934802,181.8594465035036,125.86271062776646
2022-03-31,75.24216214950228,177.6681734201225,123.22176511706155
2022-04-30,74.9854288676807,181.08991497620772,131.24833207473856
2022-05-31,75.16390851453127,175.57372465594733,122.2999297383655
2022-06-30,75.62593224406086,180.6016775749596,130.33188967697936
2022-07-31,74.72479497146502,179.3573453413837,136.9713843286393
2022-08-31,76.21223558371034,181.9427752654933,129.1497751089966
2022-09-30,74.33073411813518,187.1037636970498,130.10204166584205
2022-10-31,75.74392471028597,178.47749554232328,126.39509580132703
2022-11-30,74.60847423806594,175.89904406576267,129.79543764318092
2022-12-31,75.26156368398412,183.60581118111585,129.89044501091436
2023-01-31,75.00556038223188,183.28958307716923,128.50475909443168
2023-02-28,74.85021087407102,179.03632664545907,125.86271062776646
2023-03-31,74.72917120264778,180.81151607657955,123.22176511706155
2023-04-30,74.64573821770755,182.33705409030784,131.24833207473856
2023-05-31,74.75669293254977,177.51633868011623,122.2999297383655
2023-06-30,74.45274818918917,176.34648003028323,130.33188967697936
2023-07-31,75.4441228106089,181.594100971575,136.9713843286393
2023-08-31,74.33304449724666,180.6341308674888,129.1497751089966
2023-09-30,75.53175874202249,178.65478823446009,130.10204166584205
2023-10-31,74.92506413373694,186.04468726191095,126.39509580132703
2023-11-30,75.02526165769244,185.6779017102374,129.79543764318092
2023-12-31,75.23292118704424,187.5061789519801,129.89044501091436
