indice,A,B,C,D
2014-01-31,99.57371271098182,249.48128139784777,59.3041089269963,120.0
2014-02-28,101.82791831257408,249.46387629649803,58.99376337155108,120.0
2014-03-31,101.35560037279467,251.18394736200878,67.07168812475577,120.0
2014-04-30,101.15237426683649,250.4214517575681,64.41267651359527,120.0
2014-05-31,101.38929765630732,249.01557140037022,66.60458786306485,120.0
2014-06-30,95.96004070994603,250.50088635283848,63.0078102325803,120.0
2014-07-31,99.69988180442614,399.91658913619057,65.45359152915158,120.0
2014-08-31,100.9519258674765,399.4450199768993,67.68690659344523,120.0
2014-09-30,101.9081419142237,399.95025632373864,68.81527134464827,120.0
2014-10-31,93.3724209505322,429.8067100410849,72.79919779599602,120.0
2014-11-30,103.55191931633323,429.2007792089302,76.44858547984248,120.0
2014-12-31,98.10065158665401,430.5099266071163,71.04233763748654,120.0
2015-01-31,100.88725842608443,494.19889759694314,80.49446760078762,120.0
2015-02-28,103.3529379002762,495.24440607622097,76.32723499917063,120.0
2015-03-31,97.5393118189095,495.83057928453127,82.00149786779322,120.0
2015-04-30,100.02321205495032,520.4023932640224,79.18549793185517,120.0
2015-05-31,99.95701509661282,519.4223433009377,77.06080466521794,120.0
2015-06-30,96.19619622080864,521.67113904496,81.25312190795088,120.0
2015-07-31,97.55834950354442,550.8929240417538,82.5283668869606,120.0
2015-08-31,100.40610836044495,551.0827720232994,85.0459415941837,120.0
2015-09-30,98.9024493784079,552.0668818262967,84.97208238162719,120.0
2015-10-31,99.67360339679038,568.6204446940202,91.63878441328062,120.0
2015-11-30,98.64315976086893,567.7417523107302,90.31697640820306,120.0
2015-12-31,100.96870790235954,568.3004470232082,87.54471235905194,120.0
2016-01-31,101.93338554768306,584.4224032547496,100.80758756744908,120.0
2016-02-29,98.2806919166546,584.2138230378381,97.00341351948207,120.0
2016-03-31,102.316597989012,584.1473603056203,95.74310757283087,120.0
2016-04-30,97.88463194490251,595.5086888788151,95.14814968671384,120.0
2016-05-31,101.10616259859727,594.2891552610193,107.45008578115045,120.0
2016-06-30,100.10788254254936,594.340092057429,108.64147882477057,120.0
2016-07-31,98.6636708988829,602.701916669894,105.23709659810997,120.0
2016-08-31,99.65045356853874,603.0736844625928,103.10461323277481,120.0
2016-09-30,105.2507024766611,602.978013930645,113.40925816421249,120.0
2016-10-31,101.73003628102045,608.3976007344344,113.04156425390497,120.0
2016-11-30,101.90967849847301,608.9549546045944,120.42224373457267,120.0
2016-12-31,99.80438919218557,608.6972334342759,110.11260896383617,120.0
2017-01-31,98.6884998439848,611.7305651674044,111.16398400076154,120.0
2017-02-28,99.50035096312934,612.7320514394683,122.65073273244381,120.0
2017-03-31,100.05564988794015,612.1883135628508,120.08839288748214,120.0
2017-04-30,97.7148221335118,615.675066010419,123.7619077462128,120.0
2017-05-31,98.17657896279135,615.851798581938,120.68304730029563,120.0
2017-06-30,101.94732873657402,615.9312700134482,124.47084082545655,120.0
2017-07-31,99.29719738166254,617.4829185456575,136.90910568611486,120.0
2017-08-31,102.78571428675409,618.4094239321879,142.66326594484326,120.0
2017-09-30,100.07702050720779,617.8687871535533,147.50487983150313,120.0
2017-10-31,100.13447804506076,620.0138606102648,142.17173154994762,120.0
2017-11-30,101.34027297549055,621.0695809841342,149.1986223734608,120.0
2017-12-31,98.49757983148174,620.8758145279666,152.20241656394333,120.0
2018-01-31,98.62698666777416,621.7625134798988,147.42705251042239,120.0
2018-02-28,96.7483604128535,621.7307747130551,154.51663742925103,120.0
2018-03-31,100.09866417513203,621.5468948544182,144.14715139910953,120.0
2018-04-30,98.09826001648881,622.6133353125153,168.67030641735727,120.0
2018-05-31,100.7995270876517,624.3700832681017,173.57738175791485,120.0
2018-06-30,100.93320198721514,621.9751637005131,176.92256818996339,120.0
2018-07-31,99.14332270340796,622.4607086931115,165.16334379138837,120.0
2018-08-31,102.84231430558908,623.7411218867558,161.524940954699,120.0
2018-09-30,97.84005809971903,623.1281945591138,174.28016034058865,120.0
