indice,Valor,Target
2014-01-31,49.91305440098075,-225676.43945581157
2014-02-28,49.78716669967359,-223912.63857214156
2014-03-31,49.867281761110746,-225034.0593048082
2014-04-30,49.96765713991515,-226444.3346944927
2014-05-31,50.160934309326855,-229176.39708614786
2014-06-30,50.30500542517983,-231227.0944704956
2014-07-31,50.78886768737672,-238203.53135905604
2014-08-31,51.36316253557396,-246663.67123738528
2014-09-30,51.93363508332524,-255262.87980268346
2014-10-31,52.61185157881171,-265742.6531355229
2014-11-30,53.47333207388951,-279461.47476933117
2014-12-31,54.302248935749326,-293098.5887820382
2015-01-31,55.39523992430106,-311746.7949915306
2015-02-28,56.475859249945564,-330943.41185601894
2015-03-31,57.63281055199063,-352350.33605184953
2015-04-30,58.93669936112547,-377557.6366338957
2015-05-31,60.34268651195757,-406052.54168843484
2015-06-30,61.72930347019456,-435521.85369532433
2015-07-31,63.33089354346997,-471291.4782464292
2015-08-31,65.1398434735707,-513983.5918847009
2015-09-30,66.82711425953407,-556055.0776711918
2015-10-31,68.84976626185386,-609435.4479460786
2015-11-30,70.82199222960469,-664668.0290233041
2015-12-31,72.93836502310481,-727539.0241254523
2016-01-31,75.00562434345822,-792657.231429974
2016-02-29,77.4182844319826,-873429.8756847223
2016-03-31,79.78793616553389,-957923.707106244
2016-04-30,82.20641748245883,-1049599.2192129125
2016-05-31,84.96511442691961,-1161096.7647386203
2016-06-30,87.67770019105416,-1278161.6744645396
2016-07-31,90.3432661213102,-1400608.6053376745
2016-08-31,93.29261624330388,-1544928.6603382854
2016-09-30,96.33509828723956,-1703849.6190300423
2016-10-31,99.42468263309352,-1876012.9141650472
2016-11-30,102.55280311492469,-2061752.7389286282
2016-12-31,105.84042071392042,-2269758.5580574614
2017-01-31,109.27020836639772,-2501189.516934653
2017-02-28,112.8940564281126,-2762253.446800596
2017-03-31,116.421021705517,-3033189.599435063
2017-04-30,120.0070906666768,-3326257.3393275742
2017-05-31,123.86052299345816,-3661574.29405935
2017-06-30,127.85951160463848,-4032620.369851276
2017-07-31,131.71698446003887,-4413504.1055806475
2017-08-31,135.94562607415546,-4857777.4009169955
2017-09-30,140.02192150800465,-5313343.082658367
2017-10-31,144.39788336093017,-5833162.428823408
2017-11-30,148.86059970859606,-6397113.387458098
2017-12-31,153.24965262130291,-6986100.352494155
2018-01-31,157.95285788266995,-7656207.118168315
2018-02-28,162.52300641601548,-8347128.25058127
2018-03-31,167.31368723152264,-9114735.740622101
2018-04-30,172.29736926158688,-9961749.498360869
2018-05-31,177.29280881041427,-10861848.300110737
2018-06-30,182.4979793328803,-11855762.841301516
2018-07-31,187.6307554027312,-12893471.24146412
2018-08-31,192.85461078775927,-14010023.037743207
2018-09-30,198.30332557737384,-15241428.327971604
2018-10-31,203.89490950035403,-16578034.841250794
2018-11-30,209.41736471723505,-17972642.504557326
2018-12-31,215.1007599606205,-19487363.63999826
2019-01-31,220.94361319664856,-21130915.67930794
2019-02-28,226.7176800848558,-22843426.941599123
2019-03-31,232.8257660154099,-24753126.309025902
2019-04-30,238.91932595327725,-26761478.40103998
2019-05-31,245.1946078933817,-28940319.76884748
2019-06-30,251.32929058294607,-31181638.817208823
2019-07-31,257.7690142255022,-33655835.22516278
2019-08-31,264.235074394488,-36268467.98675266
2019-09-30,270.84528570898414,-39075630.47019419
2019-10-31,277.50982946986545,-42048850.12582414
2019-11-30,284.48128309202946,-45316477.7742921
2019-12-31,291.28783133599376,-48666009.788698025
2020-01-31,298.2763945291577,-52272774.452601895
2020-02-29,305.44142041814183,-56151224.52293841
2020-03-31,312.608885055918,-60218334.26703695
2020-04-30,319.99785117426154,-64611952.151824124
2020-05-31,327.3561522045336,-69194699.7877421
2020-06-30,334.7139773602777,-73988850.59701717
2020-07-31,342.39585372293885,-79225202.40438099
2020-08-31,350.05823997044274,-84688746.44282745
2020-09-30,357.9625757555718,-90582197.5872253
2020-10-31,365.7026173951281,-96612092.00389457
2020-11-30,373.8267121300452,-103222917.13963524
2020-12-31,381.9389252434686,-110118310.95096464
2021-01-31,390.0874808180845,-117347058.5445131
2021-02-28,398.33344873277673,-124977444.77532107
2021-03-31,406.76087222988656,-133110354.76902865
2021-04-30,415.205036574609,-141605841.82955858
2021-05-31,423.968706415237,-150797202.3646949
2021-06-30,432.51900528647553,-160139968.28562325
2021-07-31,441.44633764181816,-170298337.738466
2021-08-31,450.2486205527404,-180726326.0151712
2021-09-30,459.3057827680036,-191891876.45047593
2021-10-31,468.3320689904279,-203467709.1764884
2021-11-30,477.5995835612952,-215827863.75095958
2021-12-31,486.89491583132445,-228718028.2998006
2022-01-31,496.38208602955376,-242393252.89473826
2022-02-28,505.80578220686937,-256506119.00825983
2022-03-31,515.404920482971,-271434316.08324075
2022-04-30,525.099794063869,-287088197.46238345
