indice,Valor
2014-01-31,264.17707280280223
2014-02-28,225.05882279741704
2014-03-31,261.65179470095376
2014-04-30,258.9041670741515
2014-05-31,241.12279025528977
2014-06-30,243.2666066860373
2014-07-31,255.26948795991083
2014-08-31,248.42131444751595
2014-09-30,244.410865510812
2014-10-31,217.5527084169423
2014-11-30,264.45616388363203
2014-12-31,225.4689130533525
2015-01-31,259.9722712862077
2015-02-28,258.8261841817086
2015-03-31,240.78551036134013
2015-04-30,243.2682408130163
2015-05-31,255.10917625965334
2015-06-30,247.85740908298663
2015-07-31,245.46618805325738
2015-08-31,215.11107027287804
2015-09-30,265.5891861357136
2015-10-31,227.39701589057748
2015-11-30,260.8930022693451
2015-12-31,258.8959469944906
2016-01-31,241.64747411699108
2016-02-29,242.084979701553
2016-03-31,256.3272215131244
2016-04-30,249.0349527066312
2016-05-31,244.04190387466176
2016-06-30,215.03369152498828
2016-07-31,263.770014100726
2016-08-31,225.9164463945501
2016-09-30,259.45894911879714
2016-10-31,258.33409567308684
2016-11-30,241.3485354139742
2016-12-31,244.99532929156933
2017-01-31,252.9623810553269
2017-02-28,249.30300732914296
2017-03-31,242.9099654649425
2017-04-30,214.7191024918464
2017-05-31,201.01570165124727
2017-06-30,199.06129149590382
2017-07-31,202.28506034452516
2017-08-31,201.894831491749
2017-09-30,203.96243446963052
2017-10-31,201.96888733289376
2017-11-30,203.263957033513
2017-12-31,203.09979620943184
2018-01-31,203.74006405366737
2018-02-28,203.78063000357858
2018-03-31,204.2313786962619
2018-04-30,201.820091074384
2018-05-31,203.38191180738596
2018-06-30,205.16326869245123
2018-07-31,204.82209342825735
2018-08-31,204.2863783930935
2018-09-30,205.18926085383134
2018-10-31,206.1344494551902
2018-11-30,205.5174345926106
2018-12-31,207.00672928850128
2019-01-31,205.79702829010782
2019-02-28,207.56289857255166
2019-03-31,206.56824655420496
2019-04-30,207.4550928633099
2019-05-31,208.35774253232182
2019-06-30,206.42853234906107
2019-07-31,208.31477311855554
2019-08-31,209.39100847563515
2019-09-30,208.87431286411228
2019-10-31,209.7374490269846
2019-11-30,208.81429040362943
2019-12-31,209.25095260242585
2020-01-31,210.12789849680973
2020-02-29,207.90270047955335
2020-03-31,210.4816806501835
2020-04-30,211.72375927080643
2020-05-31,211.2899148013469
2020-06-30,210.6161335454706
2020-07-31,211.034715235773
2020-08-31,212.46286876820378
2020-09-30,213.9255120477792
2020-10-31,212.3837596949888
2020-11-30,213.99943120899246
2020-12-31,212.59888563827124
2021-01-31,212.489719930191
2021-02-28,213.45189683553906
2021-03-31,214.92234604819933
2021-04-30,215.13077802883052
2021-05-31,213.36886919774332
2021-06-30,213.5848674558632
2021-07-31,217.1034616817007
2021-08-31,214.07220973682792
2021-09-30,215.0053745669608
2021-10-31,214.9210428556035
2021-11-30,218.24982366673498
2021-12-31,215.50543194039867
2022-01-31,217.56785850267192
2022-02-28,217.50743662375046
2022-03-31,216.69077344768203
2022-04-30,219.79517296994555
2022-05-31,218.81176712832553
2022-06-30,218.42674333173946
2022-07-31,219.72915613837552
2022-08-31,220.02222986267765
2022-09-30,219.62114710541525
2022-10-31,220.66453283203555
2022-11-30,219.80516649872501
2022-12-31,220.10826787038744
2023-01-31,221.9933486708924
2023-02-28,222.25652913859614
2023-03-31,221.38873624463176
2023-04-30,220.2572942102458
2023-05-31,221.4833747774138
2023-06-30,222.66468908794235
2023-07-31,223.74758240103716
2023-08-31,222.75643834317813
2023-09-30,222.1850494745611
2023-10-31,222.04003836188892
2023-11-30,225.46836923967498
2023-12-31,225.84290704839523
