indice,A,B
2014-01-31,101.50754165521464,190.15126706150616
2014-02-28,102.69779797922362,180.69972676556736
2014-03-31,102.87519640144255,171.43620837987794
2014-04-30,100.66909947690496,162.54306380286184
2014-05-31,100.69511754191002,153.84771320962653
2014-06-30,101.51595489365282,145.5177516319704
2014-07-31,104.98436170556542,137.4606751498558
2014-08-31,103.54170161879111,129.67378667812136
2014-09-30,103.33503925758689,122.26383286106993
2014-10-31,102.27743832690963,115.09330450395751
2014-11-30,101.98288921214606,108.26871778766132
2014-12-31,101.28683973772775,101.72798475508033
2015-01-31,102.61103432852055,95.42887758318547
2015-02-28,101.1214254813236,89.51600865394413
2015-03-31,103.77102761929964,83.76626876568017
2015-04-30,101.70074618507063,78.47700306569655
2015-05-31,105.73223017407423,73.45641540905768
2015-06-30,104.91256031138417,68.72492071591823
2015-07-31,101.26265891864071,64.19594228144926
2015-08-31,101.0793286807801,60.099850041649994
2015-09-30,103.7166171804107,56.24629715094445
2015-10-31,101.69340072154505,52.61932036646024
2015-11-30,103.24481266745337,49.4760323873422
2015-12-31,102.47523278564772,46.548340095847145
2016-01-31,102.43231570870915,43.886578003991566
2016-02-29,102.45812608748221,41.42607026012821
2016-03-31,102.27218161615852,39.46447927695665
2016-04-30,101.53850454212257,37.71165812541723
2016-05-31,100.52389269697667,36.159681368187506
2016-06-30,101.26893685240788,35.11521144134073
2016-07-31,103.1155568258169,34.19437594662936
2016-08-31,100.96395081960767,33.6621662615602
2016-09-30,104.05187544539213,33.472750809085895
2016-10-31,100.85564727383958,33.53232441385663
2016-11-30,101.9764928480342,33.768074940304125
2016-12-31,102.4386624268478,34.52596363677157
2017-01-31,104.19686924143318,35.38567155475555
2017-02-28,100.32716047471689,36.65323778811515
2017-03-31,101.96819188600637,38.220908705421984
2017-04-30,103.39016381381983,40.04615979273486
2017-05-31,101.09996726010979,42.195755094978956
2017-06-30,101.51895282540369,44.703964745676785
2017-07-31,102.56741368799361,47.43027506310581
2017-08-31,102.1892601836788,50.41714601888903
2017-09-30,102.28692074809149,53.809670875837305
2017-10-31,101.77422249216247,57.487621230732486
2017-11-30,103.27324000964333,61.4604682639085
2017-12-31,101.67020201993637,65.62913633211059
2018-01-31,103.66733252521274,70.20989743472202
2018-02-28,102.42004979848163,75.0425956376642
2018-03-31,101.05149713538653,80.23668834507869
2018-04-30,103.41570826273922,85.63301482365306
2018-05-31,104.01623437998002,91.48963628221779
2018-06-30,101.56712280148491,97.50457777490278
2018-07-31,103.89140710723287,103.840213243398
2018-08-31,101.5737160953196,110.4183046349471
2018-09-30,103.94190120865794,117.46208622915643
2018-10-31,100.9045120248377,124.61003722951769
2018-11-30,103.71821022492752,132.1985980665038
2018-12-31,101.99449108851363,140.0275181991867
2019-01-31,101.66417222605658,148.2371918258364
2019-02-28,103.1527539945727,156.63488750092668
2019-03-31,102.13934671869697,165.45727616183976
2019-04-30,102.16288580906858,174.54277546006819
2019-05-31,102.31541036888937,183.8870164022713
2019-06-30,100.2969758491672,193.49534431157508
2019-07-31,101.05606971366416,203.4891566300497
2019-08-31,101.7272867566628,213.74509271446448
2019-09-30,100.2247196105428,224.2912854447497
2019-10-31,105.2808011568186,235.02946271004936
2019-11-30,103.87367044944905,246.28725000886826
2019-12-31,100.14484058880221,257.61315863887785
2020-01-31,101.13136526085809,269.4804414648651
2020-02-29,101.12771604671397,281.5218103842603
2020-03-31,102.37833209642223,293.8190837018025
2020-04-30,80.96240306485305,306.44596591218635
2020-05-31,133.12679077601013,319.47554089639726
2020-06-30,167.61764857967756,332.6197418916109
2020-07-31,189.80551311771012,346.1924470433947
2020-08-31,202.64635198781016,360.00314648919255
2020-09-30,211.68001460052665,374.2366157617055
2020-10-31,220.83978067725928,388.66233963131475
2020-11-30,223.77327589369912,403.35499708844264
2020-12-31,225.939838553243,418.4277859692269
2021-01-31,228.2913358941405,433.8047305272165
2021-02-28,228.15556526440926,449.48541892524565
2021-03-31,228.12202696067635,465.4630169831745
2021-04-30,228.0936126791775,481.73246115833325
2021-05-31,227.60678814263946,498.2347158217216
2021-06-30,228.09026524213022,515.1318602799676
2021-07-31,228.17332485838708,532.194422873014
2021-08-31,226.95337199579444,549.6863376236714
2021-09-30,226.27837921762782,567.462947007459
2021-10-31,226.52013941666308,585.4544827080167
2021-11-30,228.97919463127647,603.8362499780906
2021-12-31,229.19124213209784,622.4381769764515
