indice,Peso,Altura
2014-01-31,55.126069846941114,96.41831594759994
2014-02-28,48.73970394386803,101.16878522124958
2014-03-31,51.40301934539875,101.15261009169949
2014-04-30,55.94141193322134,98.67227072663266
2014-05-31,57.671636207968554,99.20048566285605
2014-06-30,55.41171385771925,99.0065450936966
2014-07-31,59.81614787403018,96.45121661728285
2014-08-31,60.49702007775269,101.93208747097457
2014-09-30,53.6333244613212,102.85021979159579
2014-10-31,59.44014881569862,102.96255856273747
2014-11-30,54.70484454384399,101.74461450022505
2014-12-31,63.18177202931598,97.528255523159
2015-01-31,57.351182016224186,96.95213300738115
2015-02-28,49.467744727807705,90.93467547479783
2015-03-31,57.636445513718485,106.81673897877644
2015-04-30,54.85865790746838,107.09129768231784
2015-05-31,52.73970493202838,102.20467274975138
2015-06-30,53.11469630671171,97.88552836659154
2015-07-31,57.417167520854704,108.55791829892043
2015-08-31,59.62448747170119,107.65771273453956
2015-09-30,56.85351366626956,95.96871218083226
2015-10-31,60.455493960640766,103.48709039676369
2015-11-30,52.678124443609434,96.46723141817739
2015-12-31,55.698931965752855,95.08040726144853
2016-01-31,56.54899346101631,101.27088591588932
2016-02-29,55.02521371756087,100.57560158186398
2016-03-31,57.18369886584747,108.04079048453403
2016-04-30,54.1083382953667,98.29361703495464
2016-05-31,55.373226949687556,101.36441937210456
2016-06-30,59.64001356347071,98.7951498300562
2016-07-31,56.367482855876744,101.6215075584865
2016-08-31,57.97165750872553,104.83292334562839
2016-09-30,56.55536034999891,105.52421811553586
2016-10-31,58.6003607914684,103.00051376041998
2016-11-30,57.55248204181288,99.75937040518416
2016-12-31,55.992298568654554,98.8582675209297
2017-01-31,58.357705676488024,104.17577671887926
2017-02-28,51.47225109494629,107.62049787030479
2017-03-31,53.695299479192556,97.24337998699997
2017-04-30,62.06744391509799,94.11611074450332
2017-05-31,61.28704853246241,104.39941270652437
2017-06-30,56.02233740840395,95.0874051812642
2017-07-31,53.97356818051697,95.99261165014808
2017-08-31,52.348343294674585,104.18982828998224
2017-09-30,54.06772501343847,103.95267755443325
2017-10-31,53.29379730818288,91.71129944358552
2017-11-30,57.355199602185515,92.23497199029698
2017-12-31,60.978834540333864,106.63081179983757
2018-01-31,58.31067718698105,98.93955324805835
2018-02-28,56.33757628983997,101.39671938133222
2018-03-31,50.2121975090565,105.85600277704694
2018-04-30,58.8834848295676,99.82298047940975
2018-05-31,54.59646054997348,100.17642320293996
2018-06-30,56.131213176800316,98.6509522952792
2018-07-31,55.558138739913716,101.29059467080414
2018-08-31,59.310296986373544,96.09311901128268
2018-09-30,59.82532256314552,105.7694868815761
2018-10-31,51.77495024331425,102.09807643389803
2018-11-30,43.93865903970435,90.47532869007598
2018-12-31,60.18046598757595,93.09357709943109
2019-01-31,56.36905538011145,97.91878249401627
2019-02-28,59.61320963990115,104.38144181765799
2019-03-31,59.75489574277735,93.5194635353346
2019-04-30,61.7983631744044,106.19075410316304
2019-05-31,58.83834046146644,96.0797115385416
2019-06-30,58.59512113979588,103.25908631423349
2019-07-31,56.7970711156753,106.71050623974398
2019-08-31,60.82888030011078,96.34554073496712
2019-09-30,50.67177653426353,100.28518406925257
2019-10-31,49.757660171489285,102.05485597262545
2019-11-30,56.2063425234091,95.00463658021549
2019-12-31,55.4889937515643,101.27471120054265
2020-01-31,54.44616362734798,97.62640547524603
2020-02-29,56.937141910279394,103.23813292614122
2020-03-31,59.5307344629705,99.64686341349571
2020-04-30,61.34703736815606,102.85339972194102
2020-05-31,52.59530033421288,90.74542114329145
2020-06-30,50.99228977022991,95.11310980259233
2020-07-31,60.59913805875311,96.43087297379837
2020-08-31,53.10557550215042,86.71355069131675
2020-09-30,56.15196491515766,54.22107607629191
2020-10-31,46.94614926333627,48.80020209137685
2020-11-30,59.669687777802785,43.81233587103393
2020-12-31,57.67179553860537,39.21075546229014
2021-01-31,58.46920758569124,35.01052550155297
2021-02-28,54.81020225825221,31.224176107193532
2021-03-31,55.75245160874176,27.82829263630251
2021-04-30,56.767108656686915,24.811553968957522
2021-05-31,59.75304152853674,22.21529392582621
2021-06-30,52.638901451112126,20.004530671206698
2021-07-31,58.47840341898837,18.22904524157279
2021-08-31,59.13365202020802,16.827061032978403
2021-09-30,60.476439634313635,15.842168732298566
2021-10-31,53.52096334750493,15.228404009242182
2021-11-30,53.987000525416995,15.017785692421336
2021-12-31,57.40370941055827,15.23986043965749
2022-01-31,59.43567287626363,15.826693724918908
2022-02-28,47.45694063033377,16.814918951440443
2022-03-31,50.37854516410822,18.236531274351552
2022-04-30,60.61155189693514,20.004262196479377
2022-05-31,55.248111379375715,22.23560969171668
2022-06-30,58.889709720823184,24.834460315294702
2022-07-31,56.76622971625374,27.83614539002952
2022-08-31,54.81008761590399,31.22756869556965
2022-09-30,56.991430775600705,35.04508257861403
2022-10-31,54.89188874616234,39.23037821002543
2022-11-30,56.147494760903015,43.8208872463352
2022-12-31,59.021912849265846,48.821068928481594
2023-01-31,58.37452789177114,54.2485306121924
2023-02-28,54.1756416088327,60.04539884491155
2023-03-31,60.938532741238014,66.2364253632927
2023-04-30,55.76306505668686,72.80759924923336
2023-05-31,51.77081207536729,79.81907160794309
2023-06-30,55.64219211489625,87.23090428709018
2023-07-31,55.04259390111745,95.02334183779266
2023-08-31,55.091551471320145,103.20794744797848
2023-09-30,62.48215405206529,111.81231273097288
2023-10-31,58.47480048072006,120.84057491324117
2023-11-30,48.916785749157455,130.22408940057736
2023-12-31,61.319180880012894,140.03196687864295
