indice,A,B,C,D,E
2014-01-31,134.76519949992064,80.0,49.58044880233383,184.2994697793203,121.79648561281763
2014-02-28,132.97940568714708,79.65342640972003,49.852293726323374,182.6153766647666,118.55312035015258
2014-03-31,130.22132016018168,79.45069385566595,49.83760792413873,176.85715384606274,118.50978540447358
2014-04-30,134.31326140938938,79.30685281944005,50.18540148206823,181.14753486113463,116.10975317456726
2014-05-31,130.97825853131718,79.19528104378296,50.20992321770866,174.77127679427545,119.74581013783883
2014-06-30,132.61671345224175,79.10412026538597,49.99334960662228,116.31648464474213,119.37314001882349
2014-07-31,133.7930026925706,79.02704492547234,70.1193693248153,176.32202511334137,120.70003738278409
2014-08-31,133.63816982622296,78.96027922916008,70.27799471020974,180.11930996213155,116.71355215227695
2014-09-30,134.79983889965092,78.90138771133189,69.64828177943453,180.21514889229994,116.07930310121004
2014-10-31,134.76519949992064,78.84870745350298,75.88644762572216,189.66068599415746,123.30210898631935
2014-11-30,132.97940568714708,78.80105236360082,76.49022095106852,321.9000980544039,122.82434582857252
2014-12-31,130.22132016018168,78.757546675106,76.08995799581974,182.52325375999828,122.48591815018351
2015-01-31,134.31326140938938,78.71752532126924,79.81274067448737,180.9317404247032,122.90109338641399
2015-02-28,130.97825853131718,78.68047133519237,80.18173095621566,181.90665355438327,123.5035194661709
2015-03-31,132.61671345224175,78.6459748994489,80.51681967333961,176.22844195603943,118.87329020291229
2015-04-30,133.7930026925706,78.6137056388801,81.39396178482151,179.37797403149048,115.5262429092958
2015-05-31,133.63816982622296,78.58339332797189,81.92747786733051,175.77251049667086,120.16749388440913
2015-06-30,134.79983889965092,78.55481412105192,82.69900830069356,181.97477464215697,123.40552197519416
2015-07-31,134.76519949992064,78.52778051041678,82.12658818290231,181.1774078191292,118.85830816460835
2015-08-31,132.97940568714708,78.50213386322301,82.22050967746843,179.32057687643294,111.88539875152782
2015-09-30,130.22132016018168,78.47773878113829,83.51832486203722,188.9315922405284,119.41759661677017
2015-10-31,134.31326140938938,78.45447877332084,82.60641028057871,181.63900838348613,116.14316088175595
2015-11-30,130.97825853131718,78.43225289203542,82.38557429459485,179.78136465442418,123.3276240723456
2015-12-31,132.61671345224175,78.41097308482603,83.71823994280767,171.69542740171434,116.99586672201879
2016-01-31,133.7930026925706,78.3905620875659,83.1532044722926,171.8378886820755,119.15824346517368
2016-02-29,133.63816982622296,78.37095173098926,82.5048822654469,191.7241779509404,116.55497693649181
2016-03-31,134.79983889965092,78.35208156699784,83.45273324552252,173.02777169481124,119.44013445786092
2016-04-30,134.76519949992064,78.33389774491239,83.16303035295873,149.03958615718568,119.29433199363785
2016-05-31,132.97940568714708,78.31635208500677,82.89333581649815,162.0700362448417,117.15459661075589
2016-06-30,130.22132016018168,78.29940130916893,83.18249971870526,178.32606902529312,116.2231296551043
2016-07-31,134.31326140938938,78.28300639775743,83.34584802981259,184.43643861901725,124.5000192440683
2016-08-31,130.97825853131718,78.26713204860013,83.34830610571866,181.18385719860404,115.14267985634335
2016-09-30,132.61671345224175,78.25174621926676,83.33340260101416,182.18498865182312,120.72565527462325
2016-10-31,133.7930026925706,78.23681973769192,83.61778036530475,196.75212222814133,128.70354494029985
2016-11-30,133.63816982622296,78.2223259692553,83.09272681312598,183.03386471506977,123.30545384469369
2016-12-31,134.79983889965092,78.20824053077195,83.36404126704879,174.1017298003788,123.35598623451989
2017-01-31,134.76519949992064,78.19454104367789,83.1145810890358,183.41419715288455,123.85723462234243
2017-02-28,132.97940568714708,78.1812069201368,83.23964026519506,178.15384613850148,116.01331246604605
2017-03-31,130.22132016018168,78.16821917693518,83.32691765154087,175.76678056750364,117.4509380550741
2017-04-30,134.31326140938938,78.15556027294303,82.94463259940781,183.13327594853308,123.49642506598425
2017-05-31,130.97825853131718,78.14321396664785,82.8476379008261,175.66159891957864,115.15867953675532
2017-06-30,132.61671345224175,78.13116519085831,83.08179224855338,181.7272848824087,116.52697672330058
2017-07-31,133.7930026925706,78.11939994215322,83.52904736470452,177.44561002668564,121.51239710218917
2017-08-31,133.63816982622296,78.10790518304087,82.55435813047893,174.3144928339516,117.83648510712857
2017-09-30,134.79983889965092,78.09666875511483,83.46549157932344,181.99988806284625,116.70795703045886
2017-10-31,134.76519949992064,78.08567930175545,84.0541608574124,155.93952077996119,122.99138857273607
2017-11-30,132.97940568714708,78.07492619914497,82.83819081376872,174.08711516145215,116.736317425876
2017-12-31,130.22132016018168,78.06439949454605,83.85823907998842,172.2908899043353,117.66129150655776
2018-01-31,134.31326140938938,78.05408985094469,84.04178316272129,170.77788468052862,109.21750363907
2018-02-28,130.97825853131718,78.04398849728592,82.97472187497137,180.93265859190345,121.65418640572776
2018-03-31,132.61671345224175,78.03408718363784,83.82640521505112,182.50642253555245,122.5966819691913
2018-04-30,133.7930026925706,78.02437814070929,83.46404943971051,182.5100966250488,121.79144841539429
2018-05-31,133.63816982622296,78.01485404322393,83.12007817728824,188.03455172658647,118.92090007334569
2018-06-30,134.79983889965092,78.00550797671787,83.53078670206486,177.96516859344734,115.52493954116561
2018-07-31,134.76519949992064,77.99633340738376,82.61286078933333,183.52694380986114,126.37704740642783
2018-08-31,132.97940568714708,77.98732415463243,83.59063736820157,179.1845784145751,119.31279614888346
2018-09-30,130.22132016018168,77.97847436608272,83.3881616482756,165.4753161002858,119.66417990462892
2018-10-31,134.31326140938938,77.9697784947268,82.4613555400782,181.7919512554523,124.66860531752869
2018-11-30,130.97825853131718,77.96123127804714,84.27907743895466,181.54225112996227,116.91944027495516
2018-12-31,132.61671345224175,77.95282771888895,83.08565277990968,183.64290771796766,122.13270600643146
2019-01-31,133.7930026925706,77.94456306791335,82.78634125673938,184.35276046044493,117.36062270561145
2019-02-28,133.63816982622296,77.93643280747746,83.8451336488334,185.41197074169017,124.12892970570623
2019-03-31,134.79983889965092,77.92843263680423,83.12680817563906,175.8081793646782,122.70351740697419
2019-04-30,134.76519949992064,77.92055845832016,83.2483000003079,179.39115421183988,129.36850419917982
2019-05-31,132.97940568714708,77.91280636505218,83.13539628479386,180.40999478972108,126.39602620349613
2019-06-30,130.22132016018168,77.90517262898679,83.16247590398191,174.3619445380085,122.30502024182182
2019-07-31,134.31326140938938,77.89765369030452,83.7995480863614,179.01812537116837,119.85734713949637
2019-08-31,130.97825853131718,77.89024614741194,83.06195641923067,186.01250278404171,119.33302228688788
2019-09-30,132.61671345224175,77.88294674770137,82.8360281477117,174.35452570389668,119.6029929229583
2019-10-31,133.7930026925706,77.87575237897532,84.08541191659013,179.18284489879852,121.38802895480293
2019-11-30,133.63816982622296,77.86866006147935,83.59466755198109,184.7671594685523,124.45268847132216
2019-12-31,134.79983889965092,77.86166694049197,83.33944417351464,185.21703552701888,119.997962798038
2020-01-31,134.76519949992064,77.85477027942581,83.72616681620977,178.35885449540683,123.98627402598113
2020-02-29,132.97940568714708,77.84796745339791,83.76698571346054,181.5636791556857,112.73032967660626
2020-03-31,130.22132016018168,77.84125594323184,83.61903749587498,180.5986854472342,118.69864784363142
2020-04-30,134.31326140938938,77.83463332985683,83.2924666169513,178.20266415412294,121.35012651910546
2020-05-31,130.97825853131718,77.82809728907316,84.13043161105062,186.1938965562934,119.45111153593496
2020-06-30,132.61671345224175,77.82164558665521,83.28346259765897,172.7181486439003,115.63300367456928
2020-07-31,133.7930026925706,77.81527607376648,83.6441439461584,183.47510116409086,113.39208331529923
2020-08-31,133.63816982622296,77.80898668266306,84.3502351595811,169.16714664496666,120.9438986951052
