indice,A,B,Target
2014-01-31,172.46287381018465,56.02780533472399,341.1224278570566
2014-02-28,202.01955551614105,56.00231744008862,415.0459919902419
2014-03-31,214.1573943985569,56.10003842169555,445.2684379692728
2014-04-30,205.73926444967887,56.24553266755299,424.0412452897559
2014-05-31,172.46287381018465,56.00507068182076,341.15084617318564
2014-06-30,202.01955551614105,57.53769071519785,413.12677539635536
2014-07-31,214.1573943985569,57.32550068952774,443.73661013448253
2014-08-31,205.73926444967887,126.02234761666084,336.8202266033711
2014-09-30,172.46287381018465,87.57279081073423,301.69119601204386
2014-10-31,202.01955551614105,56.01443485281143,415.03084522433835
2014-11-30,214.1573943985569,56.031833012352855,445.35369473095113
2014-12-31,205.73926444967887,57.44485185940384,422.5420962999424
2015-01-31,172.46287381018465,56.34617189695462,340.7244696542683
2015-02-28,202.01955551614105,56.0024275090817,415.0458544040005
2015-03-31,214.1573943985569,56.01527915846888,445.3743870483061
2015-04-30,205.73926444967887,56.01981539177287,424.3233918844811
2015-05-31,172.46287381018465,56.07465000811403,341.0638720153191
2015-06-30,202.01955551614105,57.71926917045188,412.8998023272878
2015-07-31,214.1573943985569,63.39219824005126,436.1532381963281
2015-08-31,205.73926444967887,56.156292109177485,424.1527959877253
2015-09-30,172.46287381018465,56.34588887079365,340.7248234369696
2015-10-31,202.01955551614105,56.12757979739705,414.88941404360634
2015-11-30,214.1573943985569,56.288935225656815,445.0323169643212
2015-12-31,205.73926444967887,56.19386545954637,424.1058292997642
2016-01-31,172.46287381018465,56.28487593206943,340.80108961037485
2016-02-29,202.01955551614105,56.80806766023807,414.03880421505505
2016-03-31,214.1573943985569,56.00888033006696,445.3823855838085
2016-04-30,205.73926444967887,56.00542376558308,424.3413814172184
2016-05-31,172.46287381018465,56.79781932841029,340.15991036494876
2016-06-30,202.01955551614105,57.46149643495578,413.2220182466579
2016-07-31,214.1573943985569,56.009530689737794,445.38157263422
2016-08-31,205.73926444967887,58.77344545335605,420.88135430750214
2016-09-30,172.46287381018465,56.05349893454029,341.0903108572862
2016-10-31,202.01955551614105,56.02428601863164,415.01853126706305
2016-11-30,214.1573943985569,57.526409342828586,443.4854743178565
2016-12-31,205.73926444967887,56.07472786625013,424.25475129138454
2017-01-31,172.46287381018465,58.2065230685896,338.3990306897246
2017-02-28,202.01955551614105,56.17750688348482,414.8270051859966
2017-03-31,214.1573943985569,60.52015545439852,439.74329167839403
2017-04-30,205.73926444967887,57.21348498874304,422.8313048882684
2017-05-31,172.46287381018465,56.70891674866975,340.2710385896244
2017-06-30,202.01955551614105,56.026213521692426,415.0161218882371
2017-07-31,214.1573943985569,56.10532061330333,445.26183522976305
2017-08-31,205.73926444967887,57.1879605587186,422.8632104257989
2017-09-30,172.46287381018465,56.037817795214224,341.1099122814438
2017-10-31,202.01955551614105,56.07598608249333,414.953906187236
2017-11-30,214.1573943985569,86.59557493239876,407.14901733089374
2017-12-31,205.73926444967887,56.057453443578254,424.2763443197244
2018-01-31,172.46287381018465,56.01764483258647,341.1351284847285
2018-02-28,202.01955551614105,56.0459379780586,414.9914663177794
2018-03-31,214.1573943985569,70.5166893138982,427.2476243540194
2018-04-30,205.73926444967887,56.32792150744841,423.9382592398867
2018-05-31,172.46287381018465,56.01449551636048,341.139065130011
2018-06-30,202.01955551614105,56.261290152964136,414.72227609914745
2018-07-31,214.1573943985569,56.04685722012047,445.33491447124163
2018-08-31,205.73926444967887,56.50422853445493,423.7178754561285
2018-09-30,172.46287381018465,61.4860330151035,334.29964325658227
2018-10-31,202.01955551614105,56.43482845955344,414.5053532159109
2018-11-30,214.1573943985569,56.50809089332488,444.7583723797361
2018-12-31,205.73926444967887,56.14279426412221,424.1696682940444
2019-01-31,172.46287381018465,56.05914215848453,341.08325682735597
2019-02-28,202.01955551614105,56.018270087278005,415.0260511812551
2019-03-31,214.1573943985569,61.93092589381361,437.9798286291252
2019-04-30,205.73926444967887,56.29939382857094,423.97391883848354
2019-05-31,172.46287381018465,56.15834495070492,340.95925333708044
2019-06-30,202.01955551614105,56.00480440721292,415.04288328133646
2019-07-31,214.1573943985569,56.228331630441055,445.1080714583409
2019-08-31,205.73926444967887,62.81766259742564,415.82608287741516
2019-09-30,172.46287381018465,56.02153489627079,341.1302659051231
2019-10-31,202.01955551614105,56.87754081806562,413.9519627677706
2019-11-30,200.0,67.9774530815011,395.0281836481236
2019-12-31,196.0,56.12593414760017,399.8425823154998
2020-01-31,192.0,57.46050867169328,388.1743641603834
2020-02-29,188.0,56.065190600341424,379.9185117495732
2020-03-31,184.0,58.18926743646111,367.2634157044236
2020-04-30,180.0,56.01934044234971,359.97582444706285
2020-05-31,176.0,56.01708124355044,349.97864844556193
2020-06-30,172.0,56.18630783260897,339.7671152092388
2020-07-31,168.0,58.69615295833873,326.6298088020766
2020-08-31,164.0,56.3480985945928,319.564876756759
2020-09-30,160.0,56.04230942811761,309.947113214853
2020-10-31,156.0,72.31722351827754,279.60347060215304
2020-11-30,152.0,56.00040905719368,289.9994886785079
2020-12-31,148.0,56.00903656536304,279.9887042932962
2021-01-31,144.0,56.0059898091278,269.9925127385902
2021-02-28,140.0,56.01240372355248,259.98449534555937
2021-03-31,136.0,56.002170128991466,249.99728733876066
2021-04-30,132.0,56.025952364687626,239.96755954414047
2021-05-31,128.0,56.0552312433568,229.930960945804
2021-06-30,124.0,56.029863017151726,219.96267122856034
2021-07-31,120.0,56.63081343184773,209.21148321019035
2021-08-31,116.0,59.17387252715155,196.03265934106057
2021-09-30,112.0,56.00544710407704,189.9931911199037
2021-10-31,108.0,57.33462058124896,178.3317242734388
2021-11-30,104.0,56.017681895657134,169.97789763042857
2021-12-31,100.0,56.07223869194775,159.9097016350653
2022-01-31,96.0,56.00726305565141,149.99092118043575
2022-02-28,92.0,56.04804785336062,139.93994018329923
2022-03-31,88.0,56.07381079757803,129.90773650302748
2022-04-30,84.0,56.028333227697736,119.96458346537783
2022-05-31,80.0,56.01493553073445,109.98133058658195
2022-06-30,76.0,56.02866437121412,99.96416953598235
2022-07-31,72.0,58.97749236953351,86.27813453808312
2022-08-31,68.0,56.23557181968462,79.70553522539421
2022-09-30,64.0,79.96873733735886,40.03907832830143
2022-10-31,60.0,56.04853547250234,59.939330659372075
2022-11-30,56.0,57.79793972988205,47.75257533764743
2022-12-31,52.0,56.16868900495655,39.789138743804315
2023-01-31,48.0,56.024692207479234,29.969134740650958
2023-02-28,44.0,56.61793583133184,19.2275802108352
